Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Safari 11,,2018-03-22 18:29:42,2018-03-22 18:29:47,"5,005s",PASSED
"Statement - wes1 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Safari 11,,2018-03-22 18:29:47,2018-03-22 18:29:48,"0,580s",PASSED
"Statement - wes2 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(loc_steet_filialsuche), 5)",Safari 11,,2018-03-22 18:29:48,2018-03-22 18:29:48,"0,043s",PASSED
Statement - filial_maps_count = wes1.size(),Safari 11,,2018-03-22 18:29:48,2018-03-22 18:29:48,"0,000s",PASSED
Statement - filial_accordeon_count = wes2.size(),Safari 11,,2018-03-22 18:29:48,2018-03-22 18:29:48,"0,001s",PASSED
Statement - filial_count = 61,Safari 11,,2018-03-22 18:29:48,2018-03-22 18:29:48,"0,000s",PASSED
Statement - If (filial_maps_count != filial_count),Safari 11,,2018-03-22 18:29:48,2018-03-22 18:29:48,"0,084s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/14_Testfall,Safari 11,"Filial-count=37 (Dropdown: Ergebnis bei Auswahl eines Ortes z.B. Berlin)\nAlle Filialen, bei denen im Feld \""City\"" dieser Ort steht, sind angezeigt (Akk. und Filial-Icons)\n\n\n\n\n\n",2018-03-22 18:29:48,2018-03-22 18:30:05,"17,475s",FAILED
openBrowser,Safari 11,,2018-03-22 18:29:48,2018-03-22 18:29:50,"2,389s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:29:50,2018-03-22 18:29:50,"0,007s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:29:50,2018-03-22 18:29:50,"0,020s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:29:50,2018-03-22 18:29:55,"4,925s",PASSED
delay,Safari 11,,2018-03-22 18:29:55,2018-03-22 18:30:00,"5,018s",PASSED
click,Safari 11,,2018-03-22 18:30:00,2018-03-22 18:30:00,"0,161s",PASSED
delay,Safari 11,,2018-03-22 18:30:00,2018-03-22 18:30:02,"2,003s",PASSED
mouseOver,Safari 11,,2018-03-22 18:30:02,2018-03-22 18:30:03,"0,072s",PASSED
delay,Safari 11,,2018-03-22 18:30:03,2018-03-22 18:30:05,"2,002s",PASSED
click,Safari 11,,2018-03-22 18:30:05,2018-03-22 18:30:05,"0,639s",FAILED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/15_Testfall,Safari 11,"Sortierung nach entfernung beim Eingabe \""Berlin\""",2018-03-22 18:30:05,2018-03-22 18:30:22,"16,632s",PASSED
openBrowser,Safari 11,,2018-03-22 18:30:05,2018-03-22 18:30:08,"2,543s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:30:08,2018-03-22 18:30:08,"0,031s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:30:08,2018-03-22 18:30:08,"0,005s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:30:08,2018-03-22 18:30:12,"4,374s",PASSED
delay,Safari 11,,2018-03-22 18:30:12,2018-03-22 18:30:17,"5,004s",PASSED
setText,Safari 11,,2018-03-22 18:30:17,2018-03-22 18:30:18,"0,206s",PASSED
delay,Safari 11,,2018-03-22 18:30:18,2018-03-22 18:30:20,"2,044s",PASSED
submit,Safari 11,,2018-03-22 18:30:20,2018-03-22 18:30:20,"0,059s",PASSED
delay,Safari 11,,2018-03-22 18:30:20,2018-03-22 18:30:22,"2,005s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Filialsuche_loc_distance), 5)",Safari 11,,2018-03-22 18:30:22,2018-03-22 18:30:22,"0,052s",PASSED
"Statement - For ([i = 1, i < wes.size(), (i++)])",Safari 11,,2018-03-22 18:30:22,2018-03-22 18:30:22,"0,001s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:30:22,2018-03-22 18:30:22,"0,077s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/16_Testfall,Safari 11,"Es wird gepr\u00FCft, ob Entfernung in km angezeigt wird",2018-03-22 18:30:22,2018-03-22 18:30:42,"20,091s",PASSED
openBrowser,Safari 11,,2018-03-22 18:30:22,2018-03-22 18:30:24,"2,388s",PASSED
maximizeWindow,Safari 11,,2018-03-22 18:30:24,2018-03-22 18:30:24,"0,024s",PASSED
deleteAllCookies,Safari 11,,2018-03-22 18:30:24,2018-03-22 18:30:24,"0,007s",PASSED
navigateToUrl,Safari 11,,2018-03-22 18:30:24,2018-03-22 18:30:28,"4,088s",PASSED
delay,Safari 11,,2018-03-22 18:30:28,2018-03-22 18:30:33,"5,008s",PASSED
setText,Safari 11,,2018-03-22 18:30:33,2018-03-22 18:30:34,"0,255s",PASSED
delay,Safari 11,,2018-03-22 18:30:34,2018-03-22 18:30:37,"3,037s",PASSED
submit,Safari 11,,2018-03-22 18:30:37,2018-03-22 18:30:37,"0,042s",PASSED
delay,Safari 11,,2018-03-22 18:30:37,2018-03-22 18:30:42,"5,003s",PASSED
verifyElementVisible,Safari 11,,2018-03-22 18:30:42,2018-03-22 18:30:42,"0,071s",PASSED
closeBrowser,Safari 11,,2018-03-22 18:30:42,2018-03-22 18:30:42,"0,072s",PASSED
,,,,,,
