Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
navigateToUrl,Safari 11,,2018-03-20 19:44:06,2018-03-20 19:44:11,"4,559s",PASSED
delay,Safari 11,,2018-03-20 19:44:11,2018-03-20 19:44:16,"5,039s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-20 19:44:16,2018-03-20 19:44:16,"0,037s",PASSED
closeBrowser,Safari 11,,2018-03-20 19:44:16,2018-03-20 19:44:16,"0,093s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/10_Testfall,Safari 11,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-20 19:44:16,2018-03-20 19:44:26,"9,897s",PASSED
openBrowser,Safari 11,,2018-03-20 19:44:16,2018-03-20 19:44:18,"2,064s",PASSED
maximizeWindow,Safari 11,,2018-03-20 19:44:18,2018-03-20 19:44:18,"0,021s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 19:44:18,2018-03-20 19:44:18,"0,006s",PASSED
navigateToUrl,Safari 11,,2018-03-20 19:44:18,2018-03-20 19:44:21,"2,523s",PASSED
delay,Safari 11,,2018-03-20 19:44:21,2018-03-20 19:44:26,"5,005s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-20 19:44:26,2018-03-20 19:44:26,"0,026s",PASSED
closeBrowser,Safari 11,,2018-03-20 19:44:26,2018-03-20 19:44:26,"0,080s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/11_Testfall,Safari 11,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-20 19:44:26,2018-03-20 19:44:37,"11,544s",PASSED
openBrowser,Safari 11,,2018-03-20 19:44:26,2018-03-20 19:44:27,"1,295s",PASSED
maximizeWindow,Safari 11,,2018-03-20 19:44:27,2018-03-20 19:44:27,"0,038s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 19:44:27,2018-03-20 19:44:27,"0,006s",PASSED
navigateToUrl,Safari 11,,2018-03-20 19:44:27,2018-03-20 19:44:32,"4,940s",PASSED
delay,Safari 11,,2018-03-20 19:44:32,2018-03-20 19:44:37,"5,004s",PASSED
verifyElementNotPresent,Safari 11,,2018-03-20 19:44:37,2018-03-20 19:44:37,"0,046s",PASSED
closeBrowser,Safari 11,,2018-03-20 19:44:37,2018-03-20 19:44:37,"0,064s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/12_Testfall,Safari 11,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-20 19:44:37,2018-03-20 19:44:54,"16,854s",PASSED
openBrowser,Safari 11,,2018-03-20 19:44:38,2018-03-20 19:44:40,"2,055s",PASSED
maximizeWindow,Safari 11,,2018-03-20 19:44:40,2018-03-20 19:44:40,"0,023s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 19:44:40,2018-03-20 19:44:40,"0,005s",PASSED
navigateToUrl,Safari 11,,2018-03-20 19:44:40,2018-03-20 19:44:47,"6,950s",PASSED
