Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
maximizeWindow,Safari 11,,2018-03-20 09:37:16,2018-03-20 09:37:16,"0,024s",PASSED
deleteAllCookies,Safari 11,,2018-03-20 09:37:16,2018-03-20 09:37:16,"0,006s",PASSED
navigateToUrl,Safari 11,,2018-03-20 09:37:16,2018-03-20 09:37:20,"3,652s",PASSED
click,Safari 11,,2018-03-20 09:37:20,2018-03-20 09:37:20,"0,074s",PASSED
delay,Safari 11,,2018-03-20 09:37:20,2018-03-20 09:37:22,"2,007s",PASSED
setText,Safari 11,,2018-03-20 09:37:22,2018-03-20 09:37:22,"0,275s",PASSED
delay,Safari 11,,2018-03-20 09:37:22,2018-03-20 09:37:24,"2,011s",PASSED
click,Safari 11,,2018-03-20 09:37:24,2018-03-20 09:37:24,"0,031s",PASSED
delay,Safari 11,,2018-03-20 09:37:24,2018-03-20 09:37:26,"2,011s",PASSED
click,Safari 11,,2018-03-20 09:37:26,2018-03-20 09:37:27,"0,574s",PASSED
click,Safari 11,,2018-03-20 09:37:27,2018-03-20 09:37:27,"0,065s",PASSED
click,Safari 11,,2018-03-20 09:37:27,2018-03-20 09:37:27,"0,122s",PASSED
click,Safari 11,,2018-03-20 09:37:27,2018-03-20 09:37:27,"0,130s",PASSED
click,Safari 11,,2018-03-20 09:37:27,2018-03-20 09:37:28,"0,203s",PASSED
click,Safari 11,,2018-03-20 09:37:28,2018-03-20 09:37:28,"0,509s",PASSED
click,Safari 11,,2018-03-20 09:37:28,2018-03-20 09:37:28,"0,044s",PASSED
click,Safari 11,,2018-03-20 09:37:28,2018-03-20 09:37:28,"0,037s",PASSED
click,Safari 11,,2018-03-20 09:37:28,2018-03-20 09:37:28,"0,044s",PASSED
click,Safari 11,,2018-03-20 09:37:28,2018-03-20 09:37:28,"0,036s",PASSED
click,Safari 11,,2018-03-20 09:37:28,2018-03-20 09:37:28,"0,048s",PASSED
click,Safari 11,,2018-03-20 09:37:28,2018-03-20 09:37:28,"0,055s",PASSED
click,Safari 11,,2018-03-20 09:37:28,2018-03-20 09:37:28,"0,050s",PASSED
closeBrowser,Safari 11,,2018-03-20 09:37:28,2018-03-20 09:37:28,"0,066s",PASSED
,,,,,,
Test Cases/Prototyp_GAA_Suche (RC18)/18_Testfall,Safari 11,"GAA-count=70 (Dropdown: Ergebnis bei Auswahl eines Ortes Potsdam (count=2))\nAlle Filialen, bei denen im Feld \""City\"" dieser Ort steht, sind angezeigt (Akk. und Filial-Icons) ",2018-03-20 09:37:28,2018-03-20 09:37:52,"24,015s",PASSED
