Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Prototyp_Filialsuche (RC 18)/08_Testfall,Chrome 64.0.3282.186,initial: Alle Filial-Akk. sind zugeklappt,2018-03-13 10:47:34,2018-03-13 10:47:48,"13,818s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-13 10:47:34,2018-03-13 10:47:38,"3,510s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-13 10:47:38,2018-03-13 10:47:39,"1,130s",PASSED
deleteAllCookies,Chrome 64.0.3282.186,,2018-03-13 10:47:39,2018-03-13 10:47:40,"1,225s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-13 10:47:40,2018-03-13 10:47:42,"2,150s",PASSED
delay,Chrome 64.0.3282.186,,2018-03-13 10:47:42,2018-03-13 10:47:47,"5,001s",PASSED
verifyElementNotPresent,Chrome 64.0.3282.186,,2018-03-13 10:47:47,2018-03-13 10:47:47,"0,022s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-13 10:47:47,2018-03-13 10:47:48,"0,683s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/09_Testfall,Chrome 64.0.3282.186,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-13 10:47:48,2018-03-13 10:48:13,"24,555s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-13 10:47:48,2018-03-13 10:47:52,"3,780s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-13 10:47:52,2018-03-13 10:47:53,"1,106s",PASSED
deleteAllCookies,Chrome 64.0.3282.186,,2018-03-13 10:47:53,2018-03-13 10:48:01,"8,439s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-13 10:48:01,2018-03-13 10:48:06,"4,714s",PASSED
delay,Chrome 64.0.3282.186,,2018-03-13 10:48:06,2018-03-13 10:48:11,"5,003s",PASSED
verifyElementNotPresent,Chrome 64.0.3282.186,,2018-03-13 10:48:11,2018-03-13 10:48:11,"0,110s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-13 10:48:11,2018-03-13 10:48:13,"1,275s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/10_Testfall,Chrome 64.0.3282.186,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-13 10:48:13,2018-03-13 10:48:32,"19,040s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-13 10:48:13,2018-03-13 10:48:16,"3,207s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-13 10:48:16,2018-03-13 10:48:17,"1,212s",PASSED
deleteAllCookies,Chrome 64.0.3282.186,,2018-03-13 10:48:17,2018-03-13 10:48:18,"0,940s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-13 10:48:18,2018-03-13 10:48:26,"7,541s",PASSED
delay,Chrome 64.0.3282.186,,2018-03-13 10:48:26,2018-03-13 10:48:31,"5,017s",PASSED
verifyElementNotPresent,Chrome 64.0.3282.186,,2018-03-13 10:48:31,2018-03-13 10:48:31,"0,188s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-13 10:48:31,2018-03-13 10:48:32,"0,822s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/11_Testfall,Chrome 64.0.3282.186,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-13 10:48:32,2018-03-13 10:48:45,"13,536s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-13 10:48:32,2018-03-13 10:48:34,"2,674s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-13 10:48:34,2018-03-13 10:48:36,"1,219s",PASSED
deleteAllCookies,Chrome 64.0.3282.186,,2018-03-13 10:48:36,2018-03-13 10:48:36,"0,635s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-13 10:48:36,2018-03-13 10:48:39,"2,375s",PASSED
delay,Chrome 64.0.3282.186,,2018-03-13 10:48:39,2018-03-13 10:48:44,"5,002s",PASSED
verifyElementNotPresent,Chrome 64.0.3282.186,,2018-03-13 10:48:44,2018-03-13 10:48:44,"0,023s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-13 10:48:44,2018-03-13 10:48:45,"1,510s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/12_Testfall,Chrome 64.0.3282.186,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-13 10:48:45,2018-03-13 10:49:02,"16,455s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-13 10:48:45,2018-03-13 10:48:48,"2,343s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-13 10:48:48,2018-03-13 10:48:49,"1,120s",PASSED
deleteAllCookies,Chrome 64.0.3282.186,,2018-03-13 10:48:49,2018-03-13 10:48:51,"2,001s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-13 10:48:51,2018-03-13 10:48:55,"4,334s",PASSED
delay,Chrome 64.0.3282.186,,2018-03-13 10:48:55,2018-03-13 10:49:00,"5,002s",PASSED
